"ScanNumber, ScanNames, ScanPointNumber, Rates per bx, RateErr per bx"
Scan_1
1,X1,1
"{'2734': 1.9034427396036335e-05, '281': 1.8833606372936628e-05, '872': 1.9096281539532357e-05, '1783': 1.906691727526777e-05, '2774': 1.9228157134421055e-05, '2654': 1.880492554846569e-05, '81': 1.9113410598947666e-05, '1903': 1.9287504392195844e-05, '1983': 1.921898510772735e-05, '1943': 1.8247397974846535e-05, 'sum': 1.8975321245306988e-05, '952': 1.8941353300760965e-05, '1072': 1.951065596585977e-05, '41': 1.8975321245306988e-05, '1': 1.8834913498722015e-05, '1112': 1.9033831586057202e-05, '1032': 1.9096371306659422e-05, '912': 1.897113452287158e-05, '201': 1.9307407274027356e-05, '2814': 1.9547056490409885e-05, '992': 1.9370538711882546e-05, '2934': 1.836092851590365e-05, '2854': 2.0387507993291366e-05, '1152': 1.857488623500103e-05, '121': 1.9248453736508963e-05, '1863': 1.9576577142288442e-05, '241': 1.9000470001628855e-05, '161': 1.9006054981218767e-05, '2694': 1.9231117721574265e-05, '2894': 1.9377198168513132e-05, '1823': 1.9359001817065292e-05, '2023': 1.9764393755394849e-05, '2063': 1.9454456378298346e-05}"
1,X1,5
"{'2734': 0.00013420894053221369, '281': 0.00012998161504843405, '872': 0.00012111343225807927, '1783': 0.0001289929243198241, '2774': 0.00013896709632328047, '2654': 0.000129600449803374, '81': 0.00014926180786763629, '1903': 0.00013489488594045507, '1983': 0.00014325642994316738, '1943': 0.00013498695140394071, 'sum': 0.0043848682904527297, '952': 0.00015210123473523361, '1072': 0.00014278526803190332, '41': 0.00013383950274493102, '1': 0.00013143638525867747, '1112': 0.00014993975595903715, '1032': 0.00011739700130419806, '912': 0.00014122026844970171, '201': 0.00013590718507267802, '2814': 0.00013128025568134727, '992': 0.00013102131370466114, '2934': 0.00013698564206216752, '2854': 0.0001424748327172849, '1152': 0.00013732274791913195, '121': 0.00013226462691645358, '1863': 0.00014523529916048226, '241': 0.00014724491726762304, '161': 0.00012609310561813238, '2694': 0.00014112542911399423, '2894': 0.00014440664866318306, '1823': 0.00013952443155825937, '2023': 0.00014527075663430704, '2063': 0.00013472718343282829}"
"{'2734': 2.743433420631433e-06, '281': 2.4309012263870262e-06, '872': 3.4427529414639239e-06, '1783': 2.8813181360466626e-06, '2774': 3.0023143682555465e-06, '2654': 2.1816638925405257e-06, '81': 4.3067272876909521e-06, '1903': 3.7981521912375388e-06, '1983': 3.4605996588997156e-06, '1943': 1.6761830219207499e-06, 'sum': 2.2002072563090723e-05, '952': 4.374552723355726e-06, '1072': 3.9161801391749588e-06, '41': 3.4817857792905438e-06, '1': 3.3942796633545806e-06, '1112': 3.8196148703286807e-06, '1032': 3.6514215710805438e-06, '912': 3.2397180769120559e-06, '201': 2.3249447442997616e-06, '2814': 2.8939384000157081e-06, '992': 3.6452103017367584e-06, '2934': 3.3749582441612789e-06, '2854': 3.3801255677350206e-06, '1152': 1.878102683722035e-06, '121': 2.4270896264603309e-06, '1863': 3.4062894317443499e-06, '241': 2.4931771503594418e-06, '161': 3.0784347648178814e-06, '2694': 3.791624841130336e-06, '2894': 3.5783632803341419e-06, '1823': 3.4695783988944524e-06, '2023': 3.7980560848037869e-06, '2063': 3.2320544213942274e-06}"
1,X1,6
"{'2734': 0.00026879298384301363, '281': 0.00028178477805340663, '872': 0.00025745589737198317, '1783': 0.00025036449660547077, '2774': 0.00027461525751277805, '2654': 0.0002744753524893895, '81': 0.00030745468829991297, '1903': 0.00027801287506008522, '1983': 0.00030301000660983848, '1943': 0.0002829945326084271, 'sum': 0.0091332212556153539, '952': 0.00031066463125171138, '1072': 0.00029346148221520707, '41': 0.00028319252451183277, '1': 0.00026656285917852073, '1112': 0.00030751376325497402, '1032': 0.0002507480574422516, '912': 0.00030554922705050558, '201': 0.00028815640835091474, '2814': 0.00028119818380218932, '992': 0.00027452243957668541, '2934': 0.00027702822771971116, '2854': 0.0003046258774702437, '1152': 0.0002896139194490388, '121': 0.00027686399407684804, '1863': 0.00031388909410452471, '241': 0.00030578471050830559, '161': 0.00024828923415043391, '2694': 0.00030992236424935981, '2894': 0.00028507831739261747, '1823': 0.00029090597963659092, '2023': 0.000311586020688992, '2063': 0.00027910300705116244}"
"{'2734': 4.8125535563799993e-06, '281': 5.3592810268083761e-06, '872': 4.5393617940204586e-06, '1783': 4.3313922036491046e-06, '2774': 5.8276661041155488e-06, '2654': 3.6466451373489633e-06, '81': 4.5676258043521896e-06, '1903': 3.8804855532508962e-06, '1983': 3.3086980821625793e-06, '1943': 4.6103653715052143e-06, 'sum': 2.9819605500288022e-05, '952': 5.1464476984410022e-06, '1072': 3.6572614153064375e-06, '41': 4.4483092247384008e-06, '1': 3.8923235496607786e-06, '1112': 5.5998310519842381e-06, '1032': 5.170240895481007e-06, '912': 4.6474820539300947e-06, '201': 4.7595282573164518e-06, '2814': 4.8008461190824781e-06, '992': 5.0779978419446844e-06, '2934': 5.9658561030452981e-06, '2854': 3.840797428664611e-06, '1152': 5.5302139870240744e-06, '121': 4.2863596005083563e-06, '1863': 5.6286860047724979e-06, '241': 5.6093108733060582e-06, '161': 4.2959995235500955e-06, '2694': 4.0574067654549289e-06, '2894': 3.8217016808602784e-06, '1823': 3.9673891724555788e-06, '2023': 5.0841410571341212e-06, '2063': 4.2082980684925244e-06}"
1,X1,7
"{'2734': 0.00058385482116136696, '281': 0.00057809588324744257, '872': 0.00053105442639207463, '1783': 0.00053604851127602164, '2774': 0.00058277010975871235, '2654': 0.00055736456997692587, '81': 0.00064474128012079743, '1903': 0.00057079397665802387, '1983': 0.00061693001480307426, '1943': 0.00056954562169266867, 'sum': 0.018822775315493347, '952': 0.00064372357737738637, '1072': 0.00060212917160242798, '41': 0.00057702618942130353, '1': 0.00054120157583383845, '1112': 0.00062414632993750279, '1032': 0.00050898090703412893, '912': 0.00063860508380457763, '201': 0.00060223530745133762, '2814': 0.00057683867926243697, '992': 0.0005516060336958617, '2934': 0.00057125904713757332, '2854': 0.00062280896527227019, '1152': 0.00060751666605938224, '121': 0.00056129488220904025, '1863': 0.00062901461787987498, '241': 0.00062371457461267714, '161': 0.00052799252589466052, '2694': 0.00063464709965046497, '2894': 0.00060090688639320429, '1823': 0.00060567042382899674, '2023': 0.00063739892502781006, '2063': 0.00056285891623701905}"
"{'2734': 7.3645520325967307e-06, '281': 6.8782113973125867e-06, '872': 6.8318354762242265e-06, '1783': 8.784271560829048e-06, '2774': 6.8284148675965293e-06, '2654': 7.175040486286589e-06, '81': 5.9399149399729992e-06, '1903': 1.0087907926803106e-05, '1983': 8.2442357498153511e-06, '1943': 9.7516746650237653e-06, 'sum': 0.00010105017958053657, '952': 8.7577849281909185e-06, '1072': 8.3376252977685877e-06, '41': 8.4350941663354701e-06, '1': 7.6301488362302021e-06, '1112': 8.4461493758561517e-06, '1032': 9.9606796702700649e-06, '912': 7.8391100481235517e-06, '201': 6.3639816523568409e-06, '2814': 8.4020345584698437e-06, '992': 8.4966240704830836e-06, '2934': 7.109199632434522e-06, '2854': 1.0022712028379738e-05, '1152': 5.592764449359951e-06, '121': 5.4607942079042154e-06, '1863': 8.2330723410935535e-06, '241': 7.7331622946871637e-06, '161': 7.4695497565723129e-06, '2694': 8.2853809315763363e-06, '2894': 6.1673538489545789e-06, '1823': 8.612032320498286e-06, '2023': 8.6106656660368173e-06, '2063': 6.7715616403113476e-06}"
1,X1,8
"{'2734': 0.0011343986095328415, '281': 0.0011505902844614216, '872': 0.0010455976977633934, '1783': 0.0010499416107666634, '2774': 0.0011514385973679878, '2654': 0.0010793715593449417, '81': 0.0012467264563643507, '1903': 0.0011171261680179409, '1983': 0.0011713428456070168, '1943': 0.0011073419868591287, 'sum': 0.036661560868933088, '952': 0.0012399683861682813, '1072': 0.0011764692164780129, '41': 0.0011596987190257227, '1': 0.00099077390041202307, '1112': 0.0011735014961145463, '1032': 0.0010158203520058166, '912': 0.001215014734216744, '201': 0.001185805813985921, '2814': 0.0011340610937969316, '992': 0.0011046040537101881, '2934': 0.0011181114241480827, '2854': 0.0011969307725805613, '1152': 0.0011720576190522739, '121': 0.0011006270235936557, '1863': 0.0012432976426290615, '241': 0.0012125706610580285, '161': 0.0010203448418040005, '2694': 0.0012301197441826975, '2894': 0.0011857643313262435, '1823': 0.0011658079234794492, '2023': 0.0012450087261164473, '2063': 0.0011213254627017747}"
"{'2734': 1.1207252721387653e-05, '281': 8.8595702382297836e-06, '872': 1.1807716053519168e-05, '1783': 7.8675819051696384e-06, '2774': 8.046861930013537e-06, '2654': 7.1257932737190455e-06, '81': 1.108351391533492e-05, '1903': 8.8307348392308197e-06, '1983': 8.7142762580868647e-06, '1943': 9.9286915829158913e-06, 'sum': 7.464031115313565e-05, '952': 1.2674832746856626e-05, '1072': 8.0919387791485049e-06, '41': 1.0433344256640332e-05, '1': 6.1801873005742653e-06, '1112': 9.1742899861511542e-06, '1032': 1.0870043476240568e-05, '912': 9.4990940188700413e-06, '201': 8.2769387483958429e-06, '2814': 9.3467785822836345e-06, '992': 5.759478387058154e-06, '2934': 1.2441235100776346e-05, '2854': 9.4499829058730871e-06, '1152': 8.8873254691570623e-06, '121': 1.0717482287067058e-05, '1863': 1.0767656171689131e-05, '241': 7.9615293983575327e-06, '161': 6.8300264277388009e-06, '2694': 1.1745696155125871e-05, '2894': 1.2649079504620442e-05, '1823': 6.692035485314646e-06, '2023': 7.6624717499453657e-06, '2063': 1.2412361239535193e-05}"
1,X1,9
"{'2734': 0.0020978360359246531, '281': 0.0021103169502956526, '872': 0.0019734811946927082, '1783': 0.0019641331330473933, '2774': 0.0020932900674995921, '2654': 0.0020418274937020172, '81': 0.0022636537573167254, '1903': 0.0021112538497185425, '1983': 0.0022385578181239821, '1943': 0.0020431766086923225, 'sum': 0.067702938403402052, '952': 0.0022629807547976575, '1072': 0.0021961949366543975, '41': 0.0021078909436861673, '1': 0.0017850956369546197, '1112': 0.0022188151210901282, '1032': 0.0018495926522605476, '912': 0.0022476001176983118, '201': 0.0021744011901319027, '2814': 0.0020564644752691188, '992': 0.0020643265673979407, '2934': 0.0020954328855233534, '2854': 0.0022038258833899384, '1152': 0.0021700808734056495, '121': 0.0020404459376420292, '1863': 0.0022847010377084927, '241': 0.0022333865608310417, '161': 0.0018686429275909351, '2694': 0.0022671472702530168, '2894': 0.0021374799710299286, '1823': 0.0021320033286299023, '2023': 0.0023105652625894264, '2063': 0.0020583375645357939}"
"{'2734': 1.5029481477584103e-05, '281': 1.4619972662348629e-05, '872': 1.2120509564682273e-05, '1783': 1.7807807027871102e-05, '2774': 1.0272359946293169e-05, '2654': 1.7415395572452326e-05, '81': 1.5863423677402508e-05, '1903': 1.3609865610544385e-05, '1983': 1.5615415359959726e-05, '1943': 9.6663445485736051e-06, 'sum': 0.00021293081400880042, '952': 2.0167740421739188e-05, '1072': 1.3856204836556749e-05, '41': 1.7616813004713656e-05, '1': 1.0056854524617275e-05, '1112': 1.2623850991288373e-05, '1032': 1.1830657046059562e-05, '912': 1.494250598101218e-05, '201': 1.4299639661834656e-05, '2814': 1.5664036632837542e-05, '992': 9.3468759629133549e-06, '2934': 1.6737290348453528e-05, '2854': 1.5320122467023832e-05, '1152': 1.6131977765204467e-05, '121': 1.8325634040986585e-05, '1863': 1.8102417774905837e-05, '241': 1.7163714025284416e-05, '161': 1.4463136231163085e-05, '2694': 1.4843737411441888e-05, '2894': 1.6133297988394681e-05, '1823': 1.4562247802413518e-05, '2023': 1.436077864525245e-05, '2063': 1.1963457319166337e-05}"
1,X1,10
"{'2734': 0.0033895127769363554, '281': 0.0033852106180826298, '872': 0.003191688796505332, '1783': 0.0031452966290281006, '2774': 0.0034206979662964217, '2654': 0.003251388570980022, '81': 0.0035750890077140773, '1903': 0.0033876385637804083, '1983': 0.0035326452558173947, '1943': 0.0032847257159454258, 'sum': 0.10869570076465607, '952': 0.003624365714035536, '1072': 0.003490441907687407, '41': 0.0033593827270363506, '1': 0.0027805961129304612, '1112': 0.0035184102230950407, '1032': 0.0029798378604219146, '912': 0.003590864202889957, '201': 0.0035011084676769221, '2814': 0.0033629841881951221, '992': 0.0032939667519378034, '2934': 0.0033886726872113192, '2854': 0.0035433234573390925, '1152': 0.0034858105017950662, '121': 0.0033164587067930321, '1863': 0.0036423549448188985, '241': 0.0035955177399476894, '161': 0.0030448766988947205, '2694': 0.0036063322454298798, '2894': 0.0034975382670956222, '1823': 0.0034600365661868922, '2023': 0.0037274569346520459, '2063': 0.003321469540854818}"
"{'2734': 1.4894771882807637e-05, '281': 1.677507234001596e-05, '872': 1.7565706617351812e-05, '1783': 1.3475229357631117e-05, '2774': 1.9293508253998268e-05, '2654': 1.4643872387157887e-05, '81': 1.6927861184779422e-05, '1903': 2.1200798290943261e-05, '1983': 2.0769758019821127e-05, '1943': 2.2336060269367053e-05, 'sum': 0.00017034386033214398, '952': 2.0088890825277508e-05, '1072': 1.4655267879104499e-05, '41': 1.6447659467350706e-05, '1': 1.8015312399931749e-05, '1112': 1.6269619452561873e-05, '1032': 1.4498569730052131e-05, '912': 1.4797908812585518e-05, '201': 2.1854185761704966e-05, '2814': 1.5858927608664688e-05, '992': 1.7195562137662296e-05, '2934': 2.0536023536512913e-05, '2854': 1.178447570966786e-05, '1152': 2.0517783785941677e-05, '121': 1.8787515922893618e-05, '1863': 2.1018287518328713e-05, '241': 1.7076641926146194e-05, '161': 1.2943834308783732e-05, '2694': 2.4684181053126853e-05, '2894': 1.8624300373184079e-05, '1823': 1.769305614259667e-05, '2023': 2.6215157295610929e-05, '2063': 1.9529885274167943e-05}"
1,X1,11
"{'2734': 0.0047405949095264081, '281': 0.0047351088840514423, '872': 0.0044377802405506372, '1783': 0.0044058010447770354, '2774': 0.0048025876050814984, '2654': 0.0045371361309662463, '81': 0.0049967744387686254, '1903': 0.0048177077667787673, '1983': 0.0049747340846806763, '1943': 0.0046234056353569031, 'sum': 0.15230667963624001, '952': 0.0050713135395199062, '1072': 0.0048781866207718849, '41': 0.0047560955164954065, '1': 0.0038158978335559369, '1112': 0.004908362403512001, '1032': 0.0041675494983792307, '912': 0.005043480335734785, '201': 0.0048563478514552115, '2814': 0.0046687111491337417, '992': 0.0046626846538856629, '2934': 0.0047741773305460811, '2854': 0.0049996025161817672, '1152': 0.0048853001324459912, '121': 0.0046396963996812703, '1863': 0.0051301393890753385, '241': 0.0050072427140548824, '161': 0.0042261900845915077, '2694': 0.0051375156268477443, '2894': 0.0048626263858750464, '1823': 0.0048042475013062354, '2023': 0.005218939040787518, '2063': 0.0047207401366904378}"
"{'2734': 2.3511880611411742e-05, '281': 2.7342312294817522e-05, '872': 2.52207894104363e-05, '1783': 1.477964067707957e-05, '2774': 1.6635535243922628e-05, '2654': 1.4439496096890917e-05, '81': 2.1002723794098962e-05, '1903': 1.7420630735123296e-05, '1983': 1.8433012165002436e-05, '1943': 1.625038235560248e-05, 'sum': 0.00014076143602697751, '952': 2.0140253097484255e-05, '1072': 1.6413790024344623e-05, '41': 2.0314296258990144e-05, '1': 1.6543523570919422e-05, '1112': 2.200196137937923e-05, '1032': 1.5155613533751398e-05, '912': 2.0327100840854215e-05, '201': 1.974258259044369e-05, '2814': 2.340559872403552e-05, '992': 2.8634008242635884e-05, '2934': 2.3773411166062238e-05, '2854': 2.1463171734257746e-05, '1152': 1.9758129314796941e-05, '121': 2.1852146108050311e-05, '1863': 1.5065345559657829e-05, '241': 2.1239651975987881e-05, '161': 1.3621549092388845e-05, '2694': 2.0340635872132131e-05, '2894': 2.2968342302179434e-05, '1823': 1.6223386813550104e-05, '2023': 2.0383187329409723e-05, '2063': 2.2842035561359148e-05}"
1,X1,12
"{'2734': 0.0058213568292558191, '281': 0.0058503979584202167, '872': 0.005445027956739068, '1783': 0.0054678894812241197, '2774': 0.0059200884541496636, '2654': 0.0056186305126175286, '81': 0.0061383684631437065, '1903': 0.0058947026263922453, '1983': 0.0061220398871228102, '1943': 0.0056441203923895955, 'sum': 0.18745553046464919, '952': 0.0062588267028331757, '1072': 0.0060182580025866629, '41': 0.0058295069960877296, '1': 0.0046294397208839653, '1112': 0.0060177756473422054, '1032': 0.0051338468911126256, '912': 0.0062396388035267595, '201': 0.0059840399073436855, '2814': 0.005744934477843344, '992': 0.0057604306843131777, '2934': 0.005927816755138338, '2854': 0.0061144292820245029, '1152': 0.0059964068001136187, '121': 0.0056648300262168048, '1863': 0.0063764645485207437, '241': 0.006179129076190293, '161': 0.0052527265856042501, '2694': 0.0063103969441726804, '2894': 0.0059856691164895896, '1823': 0.0059009728953242305, '2023': 0.0063735213363543151, '2063': 0.0058338458882644774}"
"{'2734': 2.5689454784430788e-05, '281': 2.4611523620582486e-05, '872': 2.2181541566871768e-05, '1783': 2.5749735984350748e-05, '2774': 2.1688565578220281e-05, '2654': 2.3194724621650486e-05, '81': 1.9618463153410719e-05, '1903': 2.3238551896743838e-05, '1983': 1.8076713234673878e-05, '1943': 2.0911103253036275e-05, 'sum': 0.00014021108285105111, '952': 2.1892483191809162e-05, '1072': 1.850769093934592e-05, '41': 1.9440352591515934e-05, '1': 2.3155080186631387e-05, '1112': 2.0368401373436805e-05, '1032': 2.1553473429537017e-05, '912': 2.8401266599177126e-05, '201': 1.8089294927077771e-05, '2814': 2.2835754872627339e-05, '992': 2.3333644780255052e-05, '2934': 2.0188792192357175e-05, '2854': 2.1620320685083844e-05, '1152': 2.5776490882895759e-05, '121': 2.0511672140954565e-05, '1863': 2.4085793567668704e-05, '241': 2.6436044998789477e-05, '161': 1.6738946078234568e-05, '2694': 1.6814485836085702e-05, '2894': 1.7607151429823964e-05, '1823': 2.2270877649327554e-05, '2023': 2.0195819851187152e-05, '2063': 2.3795193085686855e-05}"
1,X1,13
"{'2734': 0.0062714545754715802, '281': 0.0063403615029528739, '872': 0.0059000353794544935, '1783': 0.0058967837132513521, '2774': 0.0064311322523280976, '2654': 0.0060834455303847793, '81': 0.0066171773010864857, '1903': 0.0063738298136740926, '1983': 0.0066322380444034934, '1943': 0.0061697478173300627, 'sum': 0.20312151089310646, '952': 0.0067508222768083211, '1072': 0.0065018476685509089, '41': 0.0063398175640031699, '1': 0.0049959553172811864, '1112': 0.006557448720559478, '1032': 0.0056121074827387932, '912': 0.0067201752681285143, '201': 0.006501079350709915, '2814': 0.0062731613172218202, '992': 0.0062037323601543907, '2934': 0.0063908863579854366, '2854': 0.00659250495955348, '1152': 0.0065026727970689535, '121': 0.0061349641066044567, '1863': 0.0069043764611706141, '241': 0.0067124517867341634, '161': 0.0057163317687809467, '2694': 0.0068489523371681573, '2894': 0.0065148831577971581, '1823': 0.006383018242195249, '2023': 0.0069269048981368542, '2063': 0.0063212172361090781}"
